visita_id,client_id,variation,primer_paso,ultimo_paso,confirm,duracion_total_seg,duracion_total_min,tasa_error_visita,edad,genero,años_cliente_vg,num_cuentas,saldo_total
908741305_52741042418_960944,5356873,Test,start,step_3,0,381.0,6.35,0.2,29,F,5,3,44030.48
908744459_87663816962_322481,3998952,Test,start,confirm,1,113.0,1.88,0.0,36,M,13,3,157238.65999999997
908746801_70352812396_190294,2287420,Control,start,start,0,2.0,0.03,0.0,48,M,13,2,168933.77999999997
9087894_67244882407_855796,4165012,Test,start,start,0,0.0,0.0,0.0,40,F,5,2,26437.89
908790400_75211190011_87220,4371396,Test,start,confirm,1,293.0,4.88,0.125,34,F,8,3,80321.47
908831829_51613790743_699074,424592,Test,start,step_1,0,5.0,0.08,0.0,24,M,23,2,67360.98999999999
90883578_77576410512_436336,5403497,Control,start,start,0,0.0,0.0,0.0,56,F,13,3,114144.25
908838387_99417252371_131153,763889,Control,start,step_1,0,12.0,0.2,0.0,60,M,12,2,114461.82
908845980_44907478684_70590,7567116,Test,start,confirm,1,162.0,2.7,0.0,62,M,12,2,24312.32
908880139_65455070477_265947,61961,Test,start,confirm,1,259.0,4.32,0.16666666666666666,74,M,5,2,305284.58
908882401_5350461807_237984,297959,Test,start,start,0,52.0,0.87,0.0,28,M,9,3,64149.91
908886417_40097973192_811239,7924728,Control,start,start,0,108.0,1.8,0.3333333333333333,39,M,14,2,44307.36
908898255_63314758817_949101,7487434,Control,start,start,0,129.0,2.15,0.5,59,M,11,2,403205.56
908908485_64388798408_519771,9692825,Control,start,start,0,185.0,3.08,0.4,67,M,8,2,579868.89
90896653_48376694142_965180,2911002,Test,start,confirm,1,416.0,6.93,0.0,44,M,20,3,351862.34
908986875_30606621482_441366,8210027,Control,start,confirm,1,298.0,4.97,0.0,68,M,15,2,1775456.69
90902332_74049944477_292232,4795586,Test,start,step_3,0,185.0,3.08,0.0,68,F,9,2,53465.59
909029762_6859811977_348084,6444119,Test,start,confirm,1,378.0,6.3,0.125,58,F,9,2,174568.19
909054007_67248033919_256476,202865,Control,start,confirm,1,294.0,4.9,0.25,20,M,21,3,59753.54
909062563_70025100232_468353,8107504,Test,start,start,0,112.0,1.87,0.3333333333333333,35,M,14,2,51023.64
909115125_2845264220_861859,2340830,Test,start,step_2,0,173.0,2.88,0.0,50,F,12,2,73857.86
909121964_33527434356_923374,728589,Test,start,start,0,0.0,0.0,0.0,61,M,18,2,37700.74
909130132_973999297_825604,6989213,Control,start,confirm,1,592.0,9.87,0.0,64,M,23,2,1854363.48
90917676_38069520094_356580,7637881,Test,start,confirm,1,384.0,6.4,0.0,44,F,17,2,44629.74
90918307_63295181879_738039,8794673,Control,start,start,0,4.0,0.07,0.0,28,F,9,2,85998.23999999999
909184341_50703482196_294357,6650452,Test,start,start,0,0.0,0.0,0.0,54,F,29,4,2543573.91
909226225_69056168418_861069,4711825,Control,start,start,0,576.0,9.6,0.1,59,F,9,2,41759.35
909273007_31226860897_991642,8281933,Control,start,start,0,0.0,0.0,0.0,70,M,16,2,583476.03
909330366_85049367367_727262,6457073,Control,start,start,0,1337.0,22.28,0.0,71,M,12,2,55409.26
909345636_81515575639_8671,7537987,Control,start,confirm,1,222.0,3.7,0.0,36,M,13,2,58995.29
909411991_29476584219_226261,1705627,Test,start,confirm,1,271.0,4.52,0.14285714285714285,46,F,21,2,188869.33
90942601_77858552041_340203,5949206,Control,start,start,0,368.0,6.13,0.0,21,F,26,3,67558.65
909429733_61497503148_85371,9895052,Test,start,start,0,0.0,0.0,0.0,68,M,21,2,52044.16
909437504_32214019919_640160,2162263,Test,start,confirm,1,434.0,7.23,0.14285714285714285,68,F,6,4,161824.90999999997
909453526_10515649372_292512,7289266,Control,start,start,0,0.0,0.0,0.0,52,F,5,2,119399.34
909457443_70843987884_151395,9364089,Control,start,confirm,1,1194.0,19.9,0.125,66,F,13,2,28857.06
909498290_17688810090_26075,1640739,Test,start,confirm,1,285.0,4.75,0.0,44,M,8,2,45593.69
90952349_46448236692_620798,1192577,Test,start,start,0,0.0,0.0,0.0,32,M,4,5,249434.37
90954693_91356871077_478688,6244483,Test,start,start,0,0.0,0.0,0.0,33,F,14,2,122300.61
909557082_18007208506_102720,1938523,Test,start,confirm,1,517.0,8.62,0.0,48,M,20,4,705167.2300000001
909565409_91282611840_184485,6487972,Test,start,confirm,1,427.0,7.12,0.0,54,M,16,3,296235.51
909574048_99872681182_723262,1260052,Control,start,step_1,0,6.0,0.1,0.0,65,M,12,2,99803.25
909583060_48084145890_769011,2297521,Control,start,confirm,1,197.0,3.28,0.0,60,M,20,2,105265.84
909585567_41802456618_381283,5862916,Control,start,confirm,1,204.0,3.4,0.0,54,F,19,2,28958.0
909635798_2394906338_493320,5459195,Test,start,confirm,1,915.0,15.25,0.1111111111111111,30,M,4,2,26316.73
909650699_6991209231_544561,4405304,Control,start,step_3,0,156.0,2.6,0.0,62,F,13,2,188555.77
909670075_2550742747_336725,9726591,Test,start,step_1,0,3723.0,62.05,0.125,68,M,26,2,89961.93
909674949_78793780262_888714,9841587,Test,start,confirm,1,469.0,7.82,0.14285714285714285,66,M,23,3,334807.0
909683012_47371461301_54020,5275476,Control,start,confirm,1,269.0,4.48,0.0,50,F,10,2,83220.45999999999
909684873_12951637463_135851,1672552,Test,start,confirm,1,260.0,4.33,0.0,62,F,16,2,117054.92
909721352_56847545997_611352,854413,Test,start,start,0,0.0,0.0,0.0,34,M,14,2,153138.34
909775218_80989732514_880524,725801,Control,start,step_3,0,56.0,0.93,0.0,71,F,26,4,764661.9400000001
909778795_9609236686_868160,8006775,Test,start,confirm,1,99.0,1.65,0.0,72,M,15,2,171946.34999999998
9097832_36186528394_421707,8109588,Control,start,step_1,0,11.0,0.18,0.0,56,F,23,4,325303.89
90980147_84350220033_993941,4313666,Test,start,confirm,1,759.0,12.65,0.16666666666666666,60,F,15,3,141891.83000000002
